Release 6.1i - Fit G.26
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-18-2004  9:30AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  flasher.ngd
output file: flasher_pad.csv
Part type:   xcr3256xl
Speed grade: -10
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P81,TRIGGER,O,I/O,OUTPUT,,,,,,,,,
P82,trig,I,I/O,INPUT,,,,,,,,,
P83,TIE,,I/O,,,,,,,,,,
P84,TIE,,I/O,,,,,,,,,,
P85,GND,,GND,,,,,,,,,,
P86,SDMUX,O,I/O,OUTPUT,,,,,,,,,
P87,MUX3,O,I/O,OUTPUT,,,,,,,,,
P88,MUX2,O,I/O,OUTPUT,,,,,,,,,
P89,TCK,,I/O/TCK,,,,,,,,,,
P90,ENMUXF,O,I/O,OUTPUT,,,,,,,,,
P91,TIE,,I/O,,,,,,,,,,
P92,ENMUXC,O,I/O,OUTPUT,,,,,,,,,
P93,ENMUXB,O,I/O,OUTPUT,,,,,,,,,
P94,ENMUXA,O,I/O,OUTPUT,,,,,,,,,
P95,VCC,,VCC,,,,,,,,,,
P96,TIE,,I/O,,,,,,,,,,
P97,MUX1,O,I/O,OUTPUT,,,,,,,,,
P98,MUX0,O,I/O,OUTPUT,,,,,,,,,
P99,data<7>,I/O,I/O,BIDIR,,,,,,,,,
P100,data<6>,I/O,I/O,BIDIR,,,,,,,,,
P101,data<5>,I/O,I/O,BIDIR,,,,,,,,,
P102,data<4>,I/O,I/O,BIDIR,,,,,,,,,
P103,data<3>,I/O,I/O,BIDIR,,,,,,,,,
P104,TDO,,I/O/TDO,,,,,,,,,,
P105,GND,,GND,,,,,,,,,,
P106,data<2>,I/O,I/O,BIDIR,,,,,,,,,
P107,data<1>,I/O,I/O,BIDIR,,,,,,,,,
P108,data<0>,I/O,I/O,BIDIR,,,,,,,,,
P109,addr<0>,I,I/O,INPUT,,,,,,,,,
P110,addr<1>,I,I/O,INPUT,,,,,,,,,
P111,addr<2>,I,I/O,INPUT,,,,,,,,,
P112,addr<3>,I,I/O,INPUT,,,,,,,,,
P113,addr<4>,I,I/O,INPUT,,,,,,,,,
P114,addr<5>,I,I/O,INPUT,,,,,,,,,
P115,VCC,,VCC,,,,,,,,,,
P116,ID0,I,I/O,INPUT,,,,,,,,,
P117,ID1,I,I/O,INPUT,,,,,,,,,
P118,ID2,I,I/O,INPUT,,,,,,,,,
P119,TIE,,I/O,,,,,,,,,,
P120,TIE,,I/O,,,,,,,,,,
P121,TIE,,I/O,,,,,,,,,,
P122,TIE,,I/O,,,,,,,,,,
P123,VCC,,VCC,,,,,,,,,,
P124,GND,,GND,,,,,,,,,,
P125,TIE,,IN3/GCK3,,,,,,,,,,
P126,nwr,GCK,IN2/GCK2,,,,,,,,,,
P127,nrd,I,IN1/GCK1,INPUT,,,,,,,,,
P128,clock,GCK,IN0/GCK0,,,,,,,,,,
P129,GND,,GND,,,,,,,,,,
P130,VCC,,VCC,,,,,,,,,,
P131,TIE,,I/O,,,,,,,,,,
P132,TIE,,I/O,,,,,,,,,,
P133,TIE,,I/O,,,,,,,,,,
P134,TIE,,I/O,,,,,,,,,,
P135,GND,,GND,,,,,,,,,,
P136,TIE,,I/O,,,,,,,,,,
P137,TIE,,I/O,,,,,,,,,,
P138,TIE,,I/O,,,,,,,,,,
P139,attn,O,I/O,OUTPUT,,,,,,,,,
P140,TIE,,I/O,,,,,,,,,,
P141,TIE,,I/O,,,,,,,,,,
P142,TIE,,I/O,,,,,,,,,,
P143,TIE,,I/O,,,,,,,,,,
P144,VCC,,VCC,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


